1;UNIDAD GESTION DE LA RED TELECOMUNICACIONES
2;UNIDAD PROYECTOS ESTRATEGICOS
3;UNIDAD DE BOMBEO
4;UNIDAD GESTION ADMINISTRATIVA
5;UNIDAD CTROL INTEG PERDIDAS AG
6;UNIDAD PRODUCCION AGUA POTABLE
7;UNIDAD DE MANTENIMIENTO
8;UNIDAD SEGURIDAD FISICA Y ELECTRONICA
9;UNIDAD COMERCIAL
10;UNIDAD CONTROL DE ENERGIA
11;UNIDAD GESTION COMPENSACION Y BENEFICIOS
12;SUBGERENCIA PLANEACION Y DES EMPRESARIAL
13;UNIDAD PROSPECT ESTRATEGICA EMPRESARIAL
14;UNIDAD ATENCION OPERATIVA
15;UNIDAD DE OPERACION
16;UNIDAD DE SERVICIOS COMPLEMENT
17;UNIDAD MANTENIMIENTO RED FISICA
18;UNIDAD DIAG Y ATENCION A DA�OS
19;UNIDAD ATENCION OTROS CANALES
20;GERENCIA UNIDAD ESTRATEGICA NEGOCIOS ENERGIA
21;UNIDAD GESTION TALENTO HUMANO Y ORGANIZACIONAL
22;UNIDAD RECOLECCION
23;UNIDAD GESTION DE ABASTECIMIENTOS
24;UNIDA RESPONSABILIDAD SOCIAL EMPR
25;UNIDAD GESTION EMPRESARIAL PROYECTOS PMO
26;UNIDAD IMPLEMENTOS PROYECTOS Y SERVICIOS
27;UNIDAD PROYECTOS MEDIA TENSION
28;UNIDAD DE GESTION AMBIENTAL
29;SECRETARIA GENERAL Y ASUNTOS LEGALES
30;UNIDAD DE TRATAMIENTO
31;UNIDAD INFRAESTRUCTURA DE TI
32;UNIDAD CENTRO COMPETENCIA TI
33;UNIDAD DE CONTABILIDAD
34;SUBGERENCIA TECNICA
35;SUBGERENCIA DE DISTRIBUCION
36;UNIDAD SOPORTE OPERATIVO
37;UNIDAD DE FACTURACION
38;UNIDAD DE ATENCION ESCRITA
39;SUBGERENCIA GESTION COMERCIAL
40;UNIDAD DE INTERVENTORIA
41;UNIDAD DE GESTION DOCUMENTAL
42;UNIDAD DE DISTRIBUCION
43;UNIDAD DE ALUMBRADO PUBLICO
44;UNIDAD GESTION PROYECTOS E INFRAESTRUCTURA
45;UNIDAD PLANEACION Y MEJORA ABASTE
46;UNIDAD INSTALACIONES Y CONFIGURACIONES
47;UNIDAD GESTION PLATAFORMA SER Y CONTE
48;DIRECCION DE CONTROL DISCIPLINARIO
49;UNIDAD ANAL FINANCIERO Y PPTO
50;UNIDAD DE INGENIERIA
51;UNIDAD COMPRA DE ENERGIA
52;UNIDAD PROSPECT Y DESARROLLO NEGOCIO
53;DIRECCION DE CONTROL INTERNO
54;UNIDAD GESTION DE ACTIVOS
55;UNIDAD SEGURIDAD Y SALUD EN EL TRABABAJO
56;UNIDAD DE PLANEACION DE TI
57;UNIDAD RECAUDO Y GESTION COBRO
58;GERENCIA AREA GESTION HUMANA Y ACTIVOS
59;SUBGERENCIA OPERATIVA
60;UNIDAD PLANEACION Y CONTROL COMERCIAL
61;UNIDAD DE REGULACION EMPRESARI
62;TESORERIA
63;UNIDAD NUEVOS NEGOCIOS E INNOVACION
64;GERENCIA AREA COMERCIAL Y GESTION AL CLIENTE
65;GERENCIA AREA ABASTECIMIENTO EMPRESARIAL
66;GERENCIA GENERAL
67;GERENCIA UNIDAD ESTRATEGICA NEGOCIOS ACUEDUCTO Y ALCANTARILLADO
68;UNIDAD JURIDICA
69;SUBGERENCIA AGUAS RESIDUALES
70;GERENCIA AREA TECNOLOGIA INFORMACION
71;SUBGERENCIA RESPONSABILIDAD SOCIAL AMB EMPRES
72;UNIDAD DESARROLLO PROD Y SERVI
73;UNIDAD DE COMUNICACIONES Y REL
74;GERENCIA UNIDAD ESTRATEGICA TECNOLOGIA INFORMACION Y COMUNICACIONES
75;SUBGERENCIA AGUA POTABLE
76;SUBGERENCIA DESARROLLO TECNOLO
77;GERENCIA DE AREA FINANCIERA
78;UNIDAD DE GEST DE LA CALIDAD
79;UNIDAD GENERACION DE ENERGIA
80;UNIDAD PROYEC E INNOVACION TI
81;DIRECCION CONTROL DISCIPLINARIO INSTRU
82;DIRECCION JURIDICA
83;DIRECCION CONTROL DISCIPLINARIO JUZGAM
