CLASE DE EQUIPO;ESTADO DEL EQUIPO;MARCA;MODELO;SERIAL DEL EQUIPO;MEMORIA RAM;DISCO DURO;SERIAL MONITOR;SERIAL MOUSE;NOMBRE ACTUAL DEL EQUIPO;NOMBRE NUEVO DEL EQUIPO
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FMR;8 GB ;500 GB;CNC248P616;674316-001;pamartin-HP-EliteDesk-800-G2-SFF;pamartin-HP-EliteDesk-800-G2-SFF
PC PORTATIL;EN USO;HP;HP 245 G7 NOTEBOOK ;5CG9461JNC;16 GB;500 GB;N/A ;N/A;DESKTOP-ABODDED;LIM03TELPAMARTP1
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7502C0K;16 GB;1500 GB;CNK7310BHZ;7CH2450D3Y;CCM01ACUEHDIAZ1;CCM01ACUEHDIAZ1
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G1 SFF;MXL4492MWX;8 GB ;500 GB;3CQ4382BL0;672652-001;Minombreesnadie-HP-EliteDesk-800-G1-SFF;Minombreesnadie-HP-EliteDesk-800-G1-SFF
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK ;5CG938391M;8 GB ;1 TB ;N/A ;N/A;CL1301ACUORLEP1;CL1301ACUORLEP1
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7502C0G;16 GB;1500 GB;CNK7310BHJ;FCMHH0CJP98STU;CCM01ACUMAGARCI;CCM01ACUMAGARCI
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FQH;8 GB ;500 GB;6CM6350J0F;FCMHH0AKZ43AR9;FLO04COMIMBUSTO;FLO04COMIMBUSTO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380MMR;8 GB ;500 GB;3CQ134N3BT;N/A;FLO04COMJACVALE;FLO04COMJACVALE
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FLX;8 GB ;1 TB ;6CM6350J46;N/A;FLO03COMAMBOR03;FLO04COMJEGORDI
PC ESCRITORIO;EN USO;LENOVO;30ASA49K00;MJ04X5MH;16 GB;6 TB;V1L28044;44Z3097;CCM01ACUFECERO1;CCM01ACUFECERO1
PC ESCRITORIO;EN USO;HP;HP Z240 CMT WORKSTATION;2UA3030FM1;16 GB;2 TB;3CQ046B6DJ;NO LEGIBLE;CCM01ACUEMLOPE2;CCM01ACUEMLOPE2
PC ESCRITORIO;EN USO;HP;HP Z230 TOWER WORKSTATION;2UA4502X2G;16 GB;2 TB;CNK4290KTX;N/A;CCM01ACUJUROJAS;CCM01ACUJUROJAS
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380MLD;4 GB;500 GB;3CQ134N3DB;N/A;FLO04COMPACASAR;FLO04COMPACASAR
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N15;4 GB;500 GB;CN420503Q7;NO LEGIBLE;CL1301ACULFFLAK;CL1301ACULFFLAK
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050P5W;4 GB;500 GB;CN42050367;FCGLH0D5F1UH71;CL1301ACUFAQUIN;CL1301ACUFAQUIN
PC PORTATIL;EN USO;HP;HP 245 G7 NOTEBOOK ;5CG9461H8N;8 GB ;500 GB;N/A ;N/A;EMCALI-P1-0325;FLO04COMPCMINP1
PC ESCRITORIO;EN USO;HP;HP Z230 TOWER WORKSTATION;2UA4502X2M;16 GB;2 TB;CNK4350NYY;N/A;CCM01ACURSGONZA;CCM01ACURSGONZA
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK ;5CG9382HD8;12 GB;250 GB;N/A ;N/A;CL1301ACUCLCALD;CL1301ACUCLCALD
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1350CGC;4 GB;250 GB;3CQ04809V2;NO LEGIBLE;CCM01ACUJETREJO;CCM01ACUJETREJO
PC PORTATIL;EN USO;LENOVO;81YB;PF1TTWM1;4 GB;1 TB ;N/A ;N/A;EMCALI-P1-0856;CAM06ADMSVALVP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050P3T;4 GB;500 GB;CN420501LT;7CH7211HWV;CL1301ACUJACAPU;CL1301ACUJACAPU
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK ;5CG9384J8Z;12 GB;800 GB;N/A ;N/A;Desktop-END5STL;CL1301ACUJACAP1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050N0S;4 GB;500 GB;CN420501SR;NO LEGIBLE;CL1301ACUDFMILL;CL1301ACUDFMILL
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050HFF;4 GB;500 GB;CN420501Q6;FCMHH0AKZ64MQX;CL1301ACUNLSATI;CL1301ACUNLSATI
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050G2F;4 GB;500 GB;CN42050407;NO LEGIBLE;CL1301ACUJACAP3;CL1301ACUJACAP3
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LP9;8 GB ;500 GB;CN74205446;N/A;CL1302GENGPPACH;CL1302GENGPPACH
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G1 SFF;MXL4492LS0;8 GB ;500 GB;3CQ046B6DK;FATSQ0CN3Z1F1V;CCM01ACUNJSANCH;CCM01ACUNJSANCH
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LTK;8 GB ;500 GB;CNC74205SY;N/A;FLO04COMNJNARVA;FLO04COMNJNARVA
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LV6;8 GB ;1 TB ;CNC7420562;FCMHH0CQWA0MU9;FLO04COMPCMINA;FLO04COMPCMINA
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050P45;4 GB;500 GB;CN420501S2;N/A;FLO04COMROVALEN;FLO04COMROVALEN
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380MNN;4 GB;500 GB;1CR80400PP;F93A90H5BW72MKC;FLO04COMKMCHARR;FLO04COMKMCHARR
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF ;MXL3031H6T;4 GB;500 GB;CN4144143B;7CH8442Q71;FLO04COMJCEMART;FLO04COMJCEMART
PC PORTATIL;EN USO;ASUS;VIVOBOOK 14_ASUS X407UAR;K4N0GR07J87216C;12 GB;1 TB ;N/A ;N/A;NAV01ACUMAROMP1;CL1301ACUMAROMP1
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G1 SFF;MXL4492MX3;8 GB ;500 GB;3CQ4382BN3;FCMHH0CJP371UD;FLO03COMLMLOCA;FLO01COMLUMLOPE
PC ESCRITORIO;EN USO;HP;HP ELITEDESK 800 G2 SFF;MXL6481FQJ;8 GB ;500 GB;6CM6350K23;F93A9015BW72NDZ;NAV01ACUMAROME3;CL1301ACUMAROME3
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1380MMB;4 GB;500 GB;CN4144143Z;NO LEGIBLE;CL1302ACUNENAVA;CL1302ACUNENAVA
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK ;5CG9382HRR;12 GB;1 TB ;N/A ;N/A;CL1301ACUJOCUBI;CL1301ACUJOCUBI
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK ;5CG9382HW4;12 GB;1 TB ;N/A ;N/A;CL13ADMBETABORD;CL1301ADMBETABORD
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LQW;8 GB ;500 GB;CNC742054V;NO LEGIBLE;CL1301ACUCIVIL1;CL1301ACUCIVIL1
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LPM;8 GB ;500 GB;CNC74205520;NO LEGIBLE;NAV02ACUMACARDO;NAV02ACUMACARDO
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050HHC;4 GB;500 GB;CN420503FP;SIN SERIE;FLO04COMGNMARIN;FLO04COMGNMARIN
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LTW;8 GB ;500 GB;CNC742052G;NO LEGIBLE;CL3103ACUGACORT;CL3103ACUGACORT
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF ;MXL3031KL7;4 GB;500 GB;CNC428P583;X9K95401417455;FLO04COMCFBURIT;FLO04COMCFBURIT
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8300 SFF ;MXL3031H66;4 GB;500 GB;3CQ95338TW;NO LEGIBLE;NAV02ACUALBARR;CL1301ACUALBARR
PC PORTATIL;EN USO;HP;HP ELITEBOOK 820 G3;5CG6495Z9R;8 GB ;500 GB;N/A ;N/A;CLL1301ACUGELP1;CL1301ACUGELP1
PC ESCRITORIO;EN USO;HP;HP Z230 TOWER WORKSTATION;2UA4502X2Q;16 GB;1 TB ;CNK4350NYS;NO LEGIBLE;CCM01ACURDCALER;CCM01ACURDCALER
PC ESCRITORIO;EN USO;HP;HP Z230 TOWER WORKSTATION;2UA4502X2L;16 GB;2 TB;CNK4350NYW;NO LEGIBLE;CCM01ACUJHCASTA;CCM01ACUJHCASTA
PC PORTATIL;EN USO;HP;HP 240 G7 Notebook;5CG9382HNL;12 GB;1 TB ;N/A ;N/A;CAM09ADMADCATP1;CAM13ADMADCATP1
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK ;5CG9382HG5;4 GB;500 GB;N/A ;N/A;CAM04GENRJBUCP1;CAM04GENRJBUCP1
PC PORTATIL;EN USO;HP;HP PROBOOK 6470B;CNU3029RW8;4 GB;500 GB;N/A ;N/A;CAM13GENALMANP1;CAM13GENALMANP1
PC ESCRITORIO;EN USO;HP;HP Z240 TOWER WORKSTATION ;2UA7502C04;16 GB;1500 GB;CNK7310BHL;SIN SERIE;CAM13GENLOHERNA;CAM13GENLOHERNA
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL2050FTZ;4 GB;500 GB;CN414413W0;7CH7060H9X;ALC01ACUCAMURI1;ALC01ACUCAMURI1
PC ESCRITORIO;EN USO;HP;HP COMPAQ ELITE 8200 SFF ;MXL1350CG8;4 GB;500 GB;3CQ04809K0;NO LEGIBLE;CL1302ACUZAMART;CL1302ACUZAMART
PC ESCRITORIO;EN USO;HP;HP Z240 SFF WORKSTATION;2UA7501LT7;8 GB;500 GB;CNC7420534;FCMHH0CQWA0MP2;CL1301ACUSAGALL;CL1301ACUSAGALL
PC ESCRITORIO;EN USO;HP;HP Z220 CMT WORKSTATION;2UA3030FM4;8 GB;4 TB;CN42520PYM;NO LEGIBLE;CL1301ACUDHBON;CL1301ACUDHBON
PC PORTATIL;EN USO;HP;HP 240 G7 NOTEBOOK;5CG9461HTR;8 GB;500 GB;N/A ;SIN MOUSE;CAM02FINMOMESP1;CAM02FINMOMESP1
